# Field	RA	Dec	NUV integration time	FUV integration time
GI6_001033_GUVICS033_0001	12:20:48.00	+05:18:00.0	1668.2	0.0
GI1_077008_FAUSTN_24	12:20:48.48	+09:57:14.0	3153.6	1491.3
GI1_079004_NGC4293	12:21:12.39	+18:22:55.7	3126.0	3126.0
GI1_079005_Group1	12:21:29.14	+11:30:25.5	3281.2	1689.2
GI1_079006_Group2	12:21:37.63	+14:36:06.8	1579.3	1579.3
NGA_NGC4303	12:21:56.14	+04:28:42.5	1992.2	941.0
GI6_001034_GUVICS034_0001	12:22:00.00	+03:27:00.0	1640.4	0.0
GI6_001035_GUVICS035_0001	12:22:00.00	+09:39:00.0	1663.5	0.0
GI5_048033_GAMA12_13473	12:22:29.44	+01:20:06.4	1644.0	1644.0
GI6_001036_GUVICS036_0001	12:22:33.60	+13:12:36.0	1692.2	0.0
GI6_001037_GUVICS037_0001	12:22:36.00	+06:18:00.0	1678.0	0.0
GI6_001038_GUVICS038	12:22:39.49	+16:49:01.4	2151.1	0.0
GI2_125013_AGESstrip1_13	12:22:48.00	+08:00:00.0	6552.5	1674.1
NGA_NGC4321	12:22:56.17	+15:49:38.6	2932.2	1754.1
GI5_057001_NGC4313	12:22:57.90	+11:35:04.0	3862.1	3862.1
GI5_057002_NGC4307	12:23:10.08	+08:47:23.0	6337.4	6337.4
GI6_001039_GUVICS039_0001	12:23:36.00	+14:45:00.0	1661.5	0.0
GI2_125012_AGESstrip1_12	12:23:36.00	+07:06:00.0	4511.1	2939.6
NGA_NGC4344	12:23:38.67	+17:32:45.2	1620.2	1620.2
GI1_079007_NGC4351	12:24:01.57	+12:12:18.2	1937.2	1937.2
GI6_001040_GUVICS040_0001	12:24:21.60	+05:24:00.0	1639.2	0.0
GI6_001041_GUVICS041_0001	12:24:26.40	+10:42:00.0	1696.0	0.0
GI6_001042_GUVICS042_0001	12:25:00.00	+03:51:36.0	1654.1	0.0
NGA_Virgo_MOS10	12:25:25.20	+13:10:29.6	3128.4	1590.2
GI6_001043_GUVICS043_0001	12:25:31.20	+04:41:24.0	1490.5	0.0
GI6_001043_GUVICS043_0002	12:25:31.20	+04:41:24.0	537.0	0.0
IRXB_NGC4385	12:25:42.81	+00:34:21.5	1662.0	0.0
GI2_125011_AGESstrip1_11	12:25:48.00	+08:48:00.0	2065.2	2065.2
NGA_Virgo_MOS08	12:25:49.20	+11:34:29.6	4312.1	1602.1
GI1_079008_Group3	12:25:50.59	+16:06:26.3	2152.2	2152.2
VIRGO_SPEC_2	12:26:00.00	+16:07:00.0	2415.4	2415.4
GI1_079009_Group4	12:26:16.90	+09:43:07.2	2009.2	2008.2
GI6_001044_GUVICS044_0001	12:26:24.00	+06:18:00.0	1674.1	0.0
GI2_125010_AGESstrip1_10	12:26:24.00	+08:00:00.0	3266.4	1637.4
GI6_001045_GUVICS045_0001	12:26:36.00	+14:12:00.0	1665.2	0.0
NGA_NGC4421	12:27:03.61	+15:27:58.6	2052.6	1026.5
GI6_001046_GUVICS046_0001	12:27:12.00	+16:45:36.0	1524.3	0.0
GI2_125009_AGESstrip1_09	12:27:12.00	+07:06:00.0	3188.1	1572.0
NGA_Virgo_MOS02	12:27:13.20	+12:22:29.6	2702.2	1604.0
NGA_NGC4450	12:27:34.46	+16:42:02.5	381.0	0.0
GI6_001047_GUVICS047	12:27:48.37	+04:35:13.4	1928.0	0.0
GI1_079012_Group5	12:27:49.92	+15:01:23.4	1616.1	1616.1
GI3_089011_VHC	12:28:07.20	+01:24:00.0	1507.2	1507.2
GI4_002002_HI_1225p01	12:28:07.20	+01:24:00.0	21836.2	8970.6
GI6_001048_GUVICS048_0001	12:28:25.84	+05:31:32.1	1680.0	0.0
GI6_001049_GUVICS049_0001	12:28:29.82	+10:41:10.3	1704.0	0.0
GI1_077010_TYC2888961	12:28:46.89	+07:08:54.7	1598.0	1598.0
GI1_079010_NGC4457	12:28:59.00	+03:34:14.3	5723.2	2496.0
GI6_001050_GUVICS050	12:28:59.84	+17:38:13.4	2437.3	0.0
GI1_109010_NGC4459	12:29:00.03	+13:58:42.8	1570.8	1570.8
NGA_Virgo_MOS09	12:29:01.20	+13:10:29.6	4536.4	1403.2
GI4_012003_3C273	12:29:06.70	+02:19:43.5	50050.5	29948.6
GI2_125008_AGESstrip1_08	12:29:24.28	+08:35:13.4	1635.0	1635.0
NGA_Virgo_MOS06	12:29:25.20	+11:34:29.6	4451.1	1600.0
GI6_001051_GUVICS051_0001	12:29:36.00	+15:54:00.0	1375.7	0.0
GI4_033001_SDSSJ122950p020153	12:29:50.58	+02:01:53.7	1658.2	1658.2
GI1_109011_NGC4477	12:30:02.18	+13:38:11.3	1720.4	1720.4
GI6_001052_GUVICS052_0001	12:30:24.00	+07:45:36.0	1628.0	0.0
GI6_001053_GUVICS053_0001	12:30:27.03	+06:21:30.8	1670.2	0.0
GI6_001054_GUVICS054_0001	12:30:29.25	+09:47:53.8	1652.2	0.0
GI1_080029_IRASF12280p0133	12:30:34.43	+01:16:24.4	7506.9	1671.2
MISDR2_13586_0520	12:30:46.03	+01:17:04.8	2595.4	847.0
NGA_Virgo_MOS01	12:30:49.20	+12:22:29.6	4685.9	1576.1
GI4_012004_RXJ1230d8p0115	12:30:50.00	+01:15:22.6	46087.9	31246.2
GI6_001055_GUVICS055_0001	12:31:16.80	+04:42:00.0	1649.2	0.0
GI6_001056_GUVICS056_0001	12:31:24.00	+14:51:00.0	1620.1	0.0
GI1_079011_NGC4498	12:31:39.49	+16:48:50.4	3041.2	3041.2
GI1_077011_TYC8775461	12:32:07.52	+12:15:50.3	1702.0	1702.0
GI6_001057_GUVICS057_0001	12:32:12.00	+10:48:00.0	1691.0	0.0
GI4_042076_AOHI123223p160130	12:32:23.00	+16:01:30.0	1168.4	1168.4
NGA_NGC4536	12:32:29.40	+01:58:20.7	1762.0	1280.0
NGA_Virgo_MOS11	12:32:37.20	+13:10:29.6	3842.3	1581.0
GI1_033005_NGC4517	12:32:45.59	+00:06:54.1	6402.6	1906.3
GI1_097006_NGC4517	12:32:45.60	+00:06:54.0	5178.3	2678.1
NGA_Virgo_MOS05	12:33:01.20	+11:34:29.6	4353.4	1567.5
GI6_001058_GUVICS058_0001	12:33:04.80	+17:42:00.0	1555.1	0.0
GI2_125007_AGESstrip1_07	12:33:12.00	+07:06:00.0	3156.3	1665.1
GI6_001059_GUVICS059_0001	12:33:12.00	+08:30:00.0	1684.2	0.0
GI1_079013_NGC4522	12:33:39.60	+09:10:26.0	2496.1	2496.1
GI6_001060_GUVICS060	12:33:48.00	+14:06:00.0	1719.6	0.0
GI3_041007_NGC4526	12:34:03.00	+07:41:57.0	1660.2	1660.2
GI6_001061_GUVICS061_0001	12:34:12.00	+15:09:00.0	1629.0	0.0
GI1_079014_NGC4532	12:34:19.45	+06:28:02.2	2968.2	1343.9
GI6_001062_GUVICS062_0001	12:34:24.00	+10:09:00.0	1623.8	0.0
NGA_Virgo_MOS03	12:34:25.20	+12:22:29.6	4738.4	1588.2
GI6_001064_GUVICS064_0001	12:34:48.00	+04:36:00.0	1639.3	0.0
GI6_001063_GUVICS063_0001	12:34:48.00	+05:28:12.0	1670.2	0.0
GI1_077012_TYC8742271	12:35:23.93	+09:26:56.2	2233.1	2233.1
GI6_001065_GUVICS065	12:35:36.00	+16:48:00.0	1963.1	0.0
GI2_125031_AGESstrip2_09	12:36:00.00	+11:00:00.0	1706.0	1706.0
NGA_Virgo_MOS12	12:36:13.20	+13:10:29.6	4738.5	1594.0
GI6_001066_GUVICS066	12:36:24.00	+16:06:00.0	1625.5	0.0
NGA_Virgo_MOS07	12:36:37.20	+11:34:29.6	4495.1	1575.1
GI1_109013_NGC4570	12:36:53.40	+07:14:47.9	1653.3	1653.3
GI2_034006_Malin1	12:36:59.30	+14:19:49.5	3154.2	3154.2
NGA_MALIN1	12:37:00.48	+14:20:07.7	1836.5	1836.5
GI2_125006_AGESstrip1_06	12:37:12.00	+08:30:00.0	1690.0	1690.0
GI1_077013_BDp162394	12:37:14.84	+15:25:11.9	1664.0	1664.0
NGA_NGC4578	12:37:31.67	+09:33:36.6	33.1	33.1
GI1_079015_NGC4580	12:37:48.40	+05:39:14.4	3037.1	1403.6
GI2_125005_AGESstrip1_05	12:38:00.00	+08:00:00.0	1661.0	1661.0
NGA_Virgo_MOS04	12:38:01.20	+12:22:29.6	3805.0	1609.0
GI1_109024_NGC4596	12:38:19.44	+10:10:33.9	1661.0	1661.0
GI6_001067_GUVICS067_0001	12:38:38.40	+06:30:00.0	1680.0	0.0
GI6_001068_GUVICS068_0001	12:39:12.00	+09:27:00.0	1666.2	0.0
GI6_001069_GUVICS069_0001	12:39:33.60	+07:27:00.0	1605.0	0.0
GI2_125030_AGESstrip2_08	12:39:36.00	+11:00:00.0	1658.0	1658.0
GI6_001070_GUVICS070_0001	12:39:36.00	+14:55:12.0	1630.2	0.0
GI6_001071_GUVICS071_0001	12:39:48.00	+16:51:00.0	1607.7	0.0
GI6_001072_GUVICS072	12:40:00.00	+13:48:00.0	1525.1	0.0
GI2_125029_AGESstrip2_07	12:40:24.00	+12:00:00.0	1658.1	1658.1
GI6_001073_GUVICS073_0001	12:40:36.00	+15:57:00.0	1590.4	0.0
NGA_NGC4612	12:41:20.37	+07:40:12.0	366.0	366.0
GI6_001074_GUVICS074	12:41:24.00	+13:00:00.0	2862.3	0.0
GI6_001075_GUVICS075_0001	12:42:00.00	+05:55:48.0	1629.0	0.0
GI3_041008_NGC4621	12:42:02.30	+11:38:49.0	1652.2	1652.2
GI6_001076_GUVICS076_0001	12:42:24.00	+07:42:00.0	1669.3	0.0
GI6_001077_GUVICS077	12:42:40.80	+09:22:48.0	1589.3	0.0
GI6_001078_GUVICS078	12:43:23.98	+15:18:25.4	1491.9	0.0
GI2_125027_AGESstrip2_05	12:43:36.00	+12:18:00.0	1649.2	1649.2
GI1_079016_NGC4651	12:43:42.63	+16:23:36.1	2588.0	2588.0
GI1_109003_NGC4660	12:44:31.98	+11:11:25.9	3113.2	1624.1
GI6_001079_GUVICS079	12:44:45.60	+17:15:00.0	1896.3	0.0
MISDR1_13700_0522	12:44:59.52	+03:36:16.4	1014.0	1014.0
GI2_125002_AGESstrip1_02	12:45:00.31	+07:29:13.4	2263.2	2263.2
GI6_001080_GUVICS080_0001	12:45:06.00	+13:37:12.0	1578.1	0.0
GI2_125003_AGESstrip1_03	12:45:12.00	+08:30:00.0	1696.1	1696.1
GI6_001081_GUVICS081_0001	12:45:28.80	+06:37:48.0	1690.0	0.0
GI2_125026_AGESstrip2_04	12:45:36.00	+10:18:00.0	1651.2	1651.2
GI6_001082_GUVICS082_0001	12:46:03.60	+13:01:04.8	1669.0	0.0
GI6_001083_GUVICS083	12:46:07.20	+09:09:00.0	1574.0	0.0
GI6_001084_GUVICS084	12:47:00.00	+15:57:00.0	2199.4	0.0
MISDR1_13761_0522	12:47:10.80	+02:43:35.7	2282.3	2282.3
GI6_001085_GUVICS085_0001	12:47:12.00	+15:00:00.0	1623.2	0.0
GI2_125025_AGESstrip2_03	12:47:24.15	+12:05:13.4	2276.8	2276.8
GI6_001086_GUVICS086	12:48:00.00	+16:48:00.0	1741.2	0.0
GI1_032002_VCC2062	12:48:14.00	+10:59:06.0	1661.0	1661.0
GI1_079017_NGC4694	12:48:15.19	+10:58:57.8	1517.2	1517.2
GI1_079018_NGC4698	12:48:22.96	+08:29:14.1	2642.2	2642.2
GI6_001087_GUVICS087	12:48:48.00	+10:30:00.0	2000.1	0.0
GI2_125001_AGESstrip1_01	12:48:48.00	+07:30:00.0	1693.0	1693.0
MISDR1_13823_0522	12:49:24.55	+01:51:05.6	1212.2	1212.2
GI6_001088_GUVICS088_0001	12:49:57.60	+12:55:33.6	1666.1	0.0
GI5_002021_HI1250040p065044	12:50:04.20	+06:50:51.0	1610.1	0.0
GI2_125024_AGESstrip2_02	12:50:24.00	+12:00:00.0	1654.2	1654.2
GI6_001089_GUVICS089_0001	12:50:48.00	+09:26:24.0	1673.0	0.0
GI2_125023_AGESstrip2_01	12:51:12.00	+10:36:00.0	1658.1	1658.1
MISDR1_13822_0522	12:51:20.99	+02:38:23.9	1174.1	1183.1
GI6_001090_GUVICS090_0001	12:51:31.20	+14:43:48.0	1671.0	0.0
MISDR1_13886_0292	12:51:40.70	+00:58:43.2	1570.2	1570.2
GI6_001091_GUVICS091_0001	12:51:48.00	+13:36:00.0	1655.2	0.0
MISDR1_13821_0523	12:53:17.40	+03:25:42.0	1240.5	1240.5
MISDR1_13885_0523	12:53:36.15	+01:45:37.4	1246.4	1246.4
GI6_001092_GUVICS092_0001	12:53:48.00	+10:15:36.0	1611.3	0.0
GI6_001093_GUVICS093	12:53:48.15	+12:05:13.4	2662.5	0.0
GI1_009046_UGC08041	12:55:09.00	+00:09:33.0	3034.1	1674.1
GI1_052002_KIG557	12:55:16.60	+00:14:49.0	15 319.1	7048.1
MISDR1_13884_0523	12:55:31.58	+02:32:28.8	2497.3	2497.3
MISDR1_13883_0523	12:57:27.31	+03:19:19.7	1600.0	0.0
GI3_084072_J125942p105420	12:59:02.40	+10:54:20.0	896.0	896.0
